date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
2/16/13,"Call Me Maybe, Carly Rae Jepsen",Call Me Maybe,Carly Rae Jepsen,0.783,0.58,7.0,-6.548,1.0,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400.0,2.812148481
3/7/20,"Sucker, Jonas Brothers",Sucker,Jonas Brothers,0.842,0.734,1.0,-5.065,0.0,0.0588,0.0427,0.0,0.106,0.952,137.958,181027.0,2.7751256281407035
3/2/13,"Somebody That I Used To Know, Gotye",Somebody That I Used To Know,Gotye,0.864,0.495,0.0,-7.036,1.0,0.037,0.591,0.000133,0.0992,0.72,129.062,244973.0,2.7131722525331257
4/14/12,"Rolling In The Deep, Adele",Rolling In The Deep,Adele,0.73,0.769,8.0,-5.114,1.0,0.0298,0.138,0.0,0.0473,0.507,104.948,228093.0,2.7030539311241064
5/2/20,"No Guidance, Chris Brown",No Guidance,Chris Brown,0.696,0.454,1.0,-6.756,0.0,0.153,0.123,0.0,0.155,0.136,92.928,260640.0,2.692111959287532
12/24/16,"This Is What You Came For, Calvin Harris",This Is What You Came For,Calvin Harris,0.631,0.927,9.0,-2.787,0.0,0.0332,0.199,0.119,0.148,0.465,123.962,222160.0,2.6876640419947506
4/1/17,"Heathens, twenty one pilots",Heathens,twenty one pilots,0.732,0.396,4.0,-9.348,0.0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920.0,2.677816901408451
7/11/20,"Memories, Maroon 5",Memories,Maroon 5,0.775,0.327,11.0,-7.241,1.0,0.0557,0.841,0.0,0.0821,0.595,91.05,189486.0,2.6682539682539685
10/27/18,"Meant To Be, Bebe Rexha",Meant To Be,Bebe Rexha,0.642,0.772,10.0,-6.61,1.0,0.0848,0.0476,0.0,0.0646,0.589,153.995,164205.0,2.6626506024096384
9/17/11,"E.T., Katy Perry",E.T.,Katy Perry,0.602,0.863,5.0,-5.423,0.0,0.0773,0.0178,0.0,0.389,0.732,150.183,206373.0,2.6524390243902443
