date,rank,song,artist,last-week,peak-rank,weeks-on-board
30/12/00,1,Independent Women Part I,Destiny's Child,1,1,15
30/12/00,2,He Loves U Not,Dream,5,2,14
30/12/00,3,It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent",2,2,9
30/12/00,4,Case Of The Ex (Whatcha Gonna Do),Mya,3,2,20
30/12/00,5,With Arms Wide Open,Creed,4,1,34
30/12/00,6,Ms. Jackson,OutKast,6,6,8
30/12/00,7,The Way You Love Me,Faith Hill,8,7,35
30/12/00,8,If You're Gone,matchbox twenty,11,8,11
30/12/00,9,Kryptonite,3 Doors Down,9,3,39
30/12/00,10,Dance With Me,Debelah Morgan,12,10,23
30/12/00,11,I Just Wanna Love U (Give It 2 Me),JAY-Z,13,11,10
30/12/00,12,This I Promise You,'N Sync,10,5,14
30/12/00,13,Gotta Tell You,Samantha Mumba,7,4,17
30/12/00,14,Most Girls,P!nk,14,4,21
30/12/00,15,I Wish,R. Kelly,15,15,14
30/12/00,16,Again,Lenny Kravitz,19,16,7
30/12/00,17,Liquid Dreams,O-Town,21,17,2
30/12/00,18,E.I.,Nelly,16,16,13
30/12/00,19,Shape Of My Heart,Backstreet Boys,17,9,12
30/12/00,20,Love Don't Cost A Thing,Jennifer Lopez,22,20,4
30/12/00,21,Between Me And You,Ja Rule Featuring Christina Milian,18,11,16
30/12/00,22,Pinch Me,Barenaked Ladies,20,15,17
30/12/00,23,Crazy For This Girl,Evan And Jaron,23,23,9
30/12/00,24,What's Your Fantasy,Ludacris Featuring Shawnna,24,21,14
30/12/00,25,Beautiful Day,U2,28,25,13
30/12/00,26,My First Love,Avant Featuring KeKe Wyatt,26,26,9
30/12/00,27,Music,Madonna,25,1,21
30/12/00,28,My Next Thirty Years,Tim McGraw,27,27,11
30/12/00,29,Stronger,Britney Spears,53,29,5
30/12/00,30,Don't Tell Me,Madonna,35,30,4
30/12/00,31,Just Friends (Sunny),Musiq,32,31,12
30/12/00,32,Danger (Been So Long),Mystikal Featuring Nivea,55,32,3
30/12/00,33,Without You,Dixie Chicks,31,31,13
30/12/00,34,Born To Fly,Sara Evans,39,34,11
30/12/00,35,Hemorrhage (In My Hands),Fuel,40,35,10
30/12/00,36,I Lost It,Kenny Chesney,34,34,11
30/12/00,37,Bent,matchbox twenty,33,1,36
30/12/00,38,Crazy,K-Ci & JoJo,42,38,4
30/12/00,39,So In Love With Two,Mikaila,47,39,6
30/12/00,40,Don't Think I'm Not,Kandi,30,24,22
30/12/00,41,Bow Wow (That's My Name),Lil Bow Wow,43,41,6
30/12/00,42,We Danced,Brad Paisley,36,29,12
30/12/00,43,She Bangs,Ricky Martin,29,12,13
